perplexity,early_exaggeration,pca_components,metric,explained_variance,spearman_rho,p_value,n_pairs,pdf,status,error
90,14,40,cosine,0.19297924388884585,0.8010568957782556,0.0,99990,VIRGO_tsne_shepard_results/pdf/tsne_shepard _p90_e14_pca40_cosine.pdf,OK,
100,10,40,cosine,0.19297924388884585,0.7919452544992664,0.0,99990,VIRGO_tsne_shepard_results/pdf/tsne_shepard _p100_e10_pca40_cosine.pdf,OK,
100,14,40,cosine,0.19297924388884585,0.7891720441001924,0.0,99990,VIRGO_tsne_shepard_results/pdf/tsne_shepard _p100_e14_pca40_cosine.pdf,OK,
100,12,40,cosine,0.19297924388884585,0.7859027830877716,0.0,99990,VIRGO_tsne_shepard_results/pdf/tsne_shepard _p100_e12_pca40_cosine.pdf,OK,
90,10,40,cosine,0.19297924388884585,0.7857038564709093,0.0,99990,VIRGO_tsne_shepard_results/pdf/tsne_shepard _p90_e10_pca40_cosine.pdf,OK,
100,100,40,cosine,0.19297924388884585,0.7830207425780118,0.0,99990,VIRGO_tsne_shepard_results/pdf/tsne_shepard _p100_e100_pca40_cosine.pdf,OK,
90,12,40,cosine,0.19297924388884585,0.7762211741779915,0.0,99990,VIRGO_tsne_shepard_results/pdf/tsne_shepard _p90_e12_pca40_cosine.pdf,OK,
80,300,40,cosine,0.19297924388884585,0.7752248604645359,0.0,99990,VIRGO_tsne_shepard_results/pdf/tsne_shepard _p80_e300_pca40_cosine.pdf,OK,
80,10,40,cosine,0.19297924388884585,0.7692813417767246,0.0,99990,VIRGO_tsne_shepard_results/pdf/tsne_shepard _p80_e10_pca40_cosine.pdf,OK,
90,100,40,cosine,0.19297924388884585,0.7679958086401443,0.0,99990,VIRGO_tsne_shepard_results/pdf/tsne_shepard _p90_e100_pca40_cosine.pdf,OK,
90,20,40,cosine,0.19297924388884585,0.7632325514128874,0.0,99990,VIRGO_tsne_shepard_results/pdf/tsne_shepard _p90_e20_pca40_cosine.pdf,OK,
80,20,40,cosine,0.19297924388884585,0.7618231013968566,0.0,99990,VIRGO_tsne_shepard_results/pdf/tsne_shepard _p80_e20_pca40_cosine.pdf,OK,
70,300,40,cosine,0.19297924388884585,0.7613899152059194,0.0,99990,VIRGO_tsne_shepard_results/pdf/tsne_shepard _p70_e300_pca40_cosine.pdf,OK,
90,300,40,cosine,0.19297924388884585,0.7608943957938078,0.0,99990,VIRGO_tsne_shepard_results/pdf/tsne_shepard _p90_e300_pca40_cosine.pdf,OK,
100,20,40,cosine,0.19297924388884585,0.7597704486356937,0.0,99990,VIRGO_tsne_shepard_results/pdf/tsne_shepard _p100_e20_pca40_cosine.pdf,OK,
80,12,40,cosine,0.19297924388884585,0.7592234501328841,0.0,99990,VIRGO_tsne_shepard_results/pdf/tsne_shepard _p80_e12_pca40_cosine.pdf,OK,
70,20,40,cosine,0.19297924388884585,0.7590018929397953,0.0,99990,VIRGO_tsne_shepard_results/pdf/tsne_shepard _p70_e20_pca40_cosine.pdf,OK,
80,14,40,cosine,0.19297924388884585,0.7539801421340707,0.0,99990,VIRGO_tsne_shepard_results/pdf/tsne_shepard _p80_e14_pca40_cosine.pdf,OK,
70,100,40,cosine,0.19297924388884585,0.7537556180444575,0.0,99990,VIRGO_tsne_shepard_results/pdf/tsne_shepard _p70_e100_pca40_cosine.pdf,OK,
70,14,40,cosine,0.19297924388884585,0.7536974048539827,0.0,99990,VIRGO_tsne_shepard_results/pdf/tsne_shepard _p70_e14_pca40_cosine.pdf,OK,
