Start time: 2025-01-31T23:59:57.260000Z 
End time: 2025-02-06T09:16:42.810000Z
Inputs: WINDOWS =[20], FRANGE = (3, 30), QRANGE = (16, 32), PEAK_SEARCH_WINDOW = 0.5, WHITHEN = True
Parameters: sta = 0.5, lta = 60, on_threshold = 20.0, off_threshold = 1.5
============================================================
SUMMARY
============================================================
Trigger=2025-02-01T00:12:35.720000Z | Window=±20s | Peak=7.3818e+03 | Mean=3.8493e+01
Trigger=2025-02-01T00:48:13.080000Z | Window=±20s | Peak=5.8818e+02 | Mean=2.4686e+00
Trigger=2025-02-01T02:56:39.630000Z | Window=±20s | Peak=4.0116e+02 | Mean=3.0528e+00
Trigger=2025-02-01T02:57:19.780000Z | Window=±20s | Peak=2.2106e+03 | Mean=1.0354e+01
Trigger=2025-02-01T03:42:12.590000Z | Window=±20s | Peak=2.2436e+02 | Mean=3.5147e+00
Trigger=2025-02-01T03:51:45.400000Z | Window=±20s | Peak=1.2393e+03 | Mean=4.6253e+00
Trigger=2025-02-01T03:52:21.480000Z | Window=±20s | Peak=1.1937e+03 | Mean=7.8088e+00
Trigger=2025-02-01T04:26:59.890000Z | Window=±20s | Peak=8.0312e+02 | Mean=2.4456e+00
Trigger=2025-02-01T04:34:33.360000Z | Window=±20s | Peak=2.1412e+03 | Mean=3.9890e+00
Trigger=2025-02-01T04:35:20.980000Z | Window=±20s | Peak=3.6706e+03 | Mean=3.5874e+00
Trigger=2025-02-01T05:08:53.200000Z | Window=±20s | Peak=4.2029e+02 | Mean=3.9490e+00
Trigger=2025-02-01T05:14:02.850000Z | Window=±20s | Peak=1.4731e+03 | Mean=7.8625e+00
Trigger=2025-02-01T05:33:14.970000Z | Window=±20s | Peak=1.0871e+03 | Mean=3.4996e+00
Trigger=2025-02-01T05:39:06.480000Z | Window=±20s | Peak=1.8586e+03 | Mean=6.3216e+00
Trigger=2025-02-01T05:46:05.080000Z | Window=±20s | Peak=6.0074e+02 | Mean=3.1603e+00
Trigger=2025-02-01T06:02:04.580000Z | Window=±20s | Peak=4.7338e+03 | Mean=5.8415e+00
Trigger=2025-02-01T06:15:38.050000Z | Window=±20s | Peak=3.0403e+03 | Mean=9.4347e+00
Trigger=2025-02-01T06:22:16.300000Z | Window=±20s | Peak=1.1567e+03 | Mean=3.2494e+00
Trigger=2025-02-01T06:29:14.420000Z | Window=±20s | Peak=2.0004e+03 | Mean=5.6613e+00
Trigger=2025-02-01T06:37:24.160000Z | Window=±20s | Peak=3.0710e+03 | Mean=6.8963e+00
Trigger=2025-02-01T06:54:26.160000Z | Window=±20s | Peak=1.0701e+03 | Mean=3.3185e+00
Trigger=2025-02-01T06:59:50.620000Z | Window=±20s | Peak=3.4488e+03 | Mean=6.2218e+00
Trigger=2025-02-01T07:20:26.960000Z | Window=±20s | Peak=5.4610e+02 | Mean=4.9090e+00
Trigger=2025-02-01T07:28:43.200000Z | Window=±20s | Peak=3.9609e+02 | Mean=3.2336e+00
Trigger=2025-02-01T08:33:54.130000Z | Window=±20s | Peak=6.5083e+02 | Mean=3.2839e+00
Trigger=2025-02-01T08:47:33.600000Z | Window=±20s | Peak=8.9855e+02 | Mean=3.8617e+00
Trigger=2025-02-01T08:50:06.560000Z | Window=±20s | Peak=2.9189e+03 | Mean=7.5605e+00
Trigger=2025-02-01T09:37:03.270000Z | Window=±20s | Peak=1.4435e+03 | Mean=3.9989e+00
Trigger=2025-02-01T09:48:14.580000Z | Window=±20s | Peak=8.9289e+01 | Mean=2.7670e+00
Trigger=2025-02-01T09:54:05.070000Z | Window=±20s | Peak=5.1131e+02 | Mean=4.8813e+00
Trigger=2025-02-01T09:54:43.890000Z | Window=±20s | Peak=2.4058e+03 | Mean=9.7716e+00
Trigger=2025-02-01T09:58:43.260000Z | Window=±20s | Peak=1.6345e+03 | Mean=4.2479e+00
Trigger=2025-02-01T10:32:01.220000Z | Window=±20s | Peak=1.2373e+03 | Mean=3.6596e+00
Trigger=2025-02-01T10:45:59.350000Z | Window=±20s | Peak=4.1054e+02 | Mean=2.9305e+00
Trigger=2025-02-01T10:47:33.480000Z | Window=±20s | Peak=6.5196e+02 | Mean=4.8148e+00
Trigger=2025-02-01T10:48:00.850000Z | Window=±20s | Peak=5.3328e+03 | Mean=1.0241e+01
Trigger=2025-02-01T11:43:07.310000Z | Window=±20s | Peak=4.6508e+02 | Mean=4.2352e+00
Trigger=2025-02-01T11:49:05.910000Z | Window=±20s | Peak=4.5710e+02 | Mean=4.6862e+00
Trigger=2025-02-01T11:49:30.810000Z | Window=±20s | Peak=2.5271e+03 | Mean=9.2539e+00
Trigger=2025-02-01T11:56:20.460000Z | Window=±20s | Peak=4.5568e+03 | Mean=1.4611e+01
Trigger=2025-02-01T12:17:59.800000Z | Window=±20s | Peak=7.2775e+02 | Mean=2.7554e+00
Trigger=2025-02-01T12:19:29.650000Z | Window=±20s | Peak=3.3549e+02 | Mean=3.2541e+00
Trigger=2025-02-01T12:24:24.550000Z | Window=±20s | Peak=4.4613e+03 | Mean=9.4313e+00
Trigger=2025-02-01T12:34:46.790000Z | Window=±20s | Peak=4.1760e+02 | Mean=2.9074e+00
