Start time: 2025-01-31T23:59:57.260000Z 
End time: 2025-02-06T09:16:42.810000Z
Inputs: WINDOWS =[12], FRANGE = (3, 30), QRANGE = (10, 32), PEAK_SEARCH_WINDOW = 0.5, WHITHEN = True
Parameters: sta = 0.5, lta = 60, on_threshold = 20, off_threshold = 1.5
============================================================
SUMMARY
============================================================
Trigger=2025-02-01T00:12:35.720000Z | Window=±12s | Peak=8.6862e+03 | Mean=5.4865e+01
Trigger=2025-02-01T00:48:13.080000Z | Window=±12s | Peak=4.7735e+02 | Mean=2.5851e+00
Trigger=2025-02-01T02:56:39.630000Z | Window=±12s | Peak=2.3488e+02 | Mean=3.0413e+00
Trigger=2025-02-01T02:57:19.780000Z | Window=±12s | Peak=1.1148e+03 | Mean=1.0183e+01
Trigger=2025-02-01T03:42:12.590000Z | Window=±12s | Peak=3.1549e+02 | Mean=3.8205e+00
Trigger=2025-02-01T03:51:45.400000Z | Window=±12s | Peak=6.5497e+02 | Mean=4.6705e+00
Trigger=2025-02-01T03:52:21.480000Z | Window=±12s | Peak=9.3588e+02 | Mean=8.7040e+00
Trigger=2025-02-01T04:26:59.890000Z | Window=±12s | Peak=7.5774e+02 | Mean=2.7068e+00
Trigger=2025-02-01T04:34:33.360000Z | Window=±12s | Peak=1.3413e+03 | Mean=3.4769e+00
Trigger=2025-02-01T04:35:20.980000Z | Window=±12s | Peak=2.8511e+03 | Mean=3.6694e+00
Trigger=2025-02-01T05:08:53.200000Z | Window=±12s | Peak=3.8454e+02 | Mean=4.4365e+00
Trigger=2025-02-01T05:14:02.850000Z | Window=±12s | Peak=2.1966e+02 | Mean=2.7452e+00
Trigger=2025-02-01T05:33:14.970000Z | Window=±12s | Peak=7.6043e+02 | Mean=3.1063e+00
Trigger=2025-02-01T05:39:06.480000Z | Window=±12s | Peak=1.0902e+03 | Mean=5.9230e+00
Trigger=2025-02-01T05:46:05.080000Z | Window=±12s | Peak=1.0530e+03 | Mean=2.8431e+00
Trigger=2025-02-01T06:02:04.580000Z | Window=±12s | Peak=3.7140e+03 | Mean=6.5194e+00
Trigger=2025-02-01T06:15:38.050000Z | Window=±12s | Peak=7.9362e+02 | Mean=8.4332e+00
Trigger=2025-02-01T06:22:16.300000Z | Window=±12s | Peak=8.9766e+02 | Mean=3.4761e+00
Trigger=2025-02-01T06:29:14.420000Z | Window=±12s | Peak=1.7401e+03 | Mean=5.6114e+00
Trigger=2025-02-01T06:37:24.160000Z | Window=±12s | Peak=1.9124e+03 | Mean=6.5361e+00
Trigger=2025-02-01T06:54:26.160000Z | Window=±12s | Peak=9.3204e+02 | Mean=3.1763e+00
Trigger=2025-02-01T06:59:50.620000Z | Window=±12s | Peak=2.8333e+03 | Mean=6.8783e+00
Trigger=2025-02-01T07:20:26.960000Z | Window=±12s | Peak=4.2426e+02 | Mean=4.0673e+00
Trigger=2025-02-01T07:28:43.200000Z | Window=±12s | Peak=4.1796e+02 | Mean=3.1727e+00
Trigger=2025-02-01T08:33:54.130000Z | Window=±12s | Peak=7.5144e+02 | Mean=4.1398e+00
Trigger=2025-02-01T08:47:33.600000Z | Window=±12s | Peak=7.7171e+02 | Mean=4.6571e+00
Trigger=2025-02-01T08:50:06.560000Z | Window=±12s | Peak=1.4923e+03 | Mean=5.3959e+00
Trigger=2025-02-01T09:37:03.270000Z | Window=±12s | Peak=1.4421e+03 | Mean=3.5598e+00
Trigger=2025-02-01T09:48:14.580000Z | Window=±12s | Peak=3.9821e+01 | Mean=2.1194e+00
Trigger=2025-02-01T09:54:05.070000Z | Window=±12s | Peak=3.8447e+02 | Mean=5.5612e+00
Trigger=2025-02-01T09:54:43.890000Z | Window=±12s | Peak=1.1702e+03 | Mean=6.0044e+00
Trigger=2025-02-01T09:58:43.260000Z | Window=±12s | Peak=1.3746e+03 | Mean=4.0226e+00
Trigger=2025-02-01T10:32:01.220000Z | Window=±12s | Peak=1.3064e+03 | Mean=3.3183e+00
Trigger=2025-02-01T10:45:59.350000Z | Window=±12s | Peak=4.7352e+02 | Mean=2.8565e+00
Trigger=2025-02-01T10:47:33.480000Z | Window=±12s | Peak=5.0994e+02 | Mean=4.5039e+00
Trigger=2025-02-01T10:48:00.850000Z | Window=±12s | Peak=4.1371e+03 | Mean=1.0137e+01
Trigger=2025-02-01T11:43:07.310000Z | Window=±12s | Peak=3.1483e+02 | Mean=4.0040e+00
Trigger=2025-02-01T11:49:05.910000Z | Window=±12s | Peak=5.8307e+02 | Mean=4.8926e+00
Trigger=2025-02-01T11:49:30.810000Z | Window=±12s | Peak=1.6359e+03 | Mean=8.3264e+00
Trigger=2025-02-01T11:56:20.460000Z | Window=±12s | Peak=1.7963e+03 | Mean=1.0196e+01
Trigger=2025-02-01T12:17:59.800000Z | Window=±12s | Peak=9.3412e+02 | Mean=3.0105e+00
Trigger=2025-02-01T12:19:29.650000Z | Window=±12s | Peak=2.7707e+02 | Mean=3.6193e+00
Trigger=2025-02-01T12:24:24.550000Z | Window=±12s | Peak=2.2298e+03 | Mean=6.2712e+00
Trigger=2025-02-01T12:34:46.790000Z | Window=±12s | Peak=3.5251e+02 | Mean=2.8762e+00
Trigger=2025-02-01T12:49:53.470000Z | Window=±12s | Peak=8.8575e+02 | Mean=2.7931e+00
Trigger=2025-02-01T12:58:20.970000Z | Window=±12s | Peak=5.7909e+02 | Mean=5.2049e+00
Trigger=2025-02-01T13:09:46.880000Z | Window=±12s | Peak=1.3988e+03 | Mean=4.1119e+00
Trigger=2025-02-01T13:16:27.500000Z | Window=±12s | Peak=9.5771e+02 | Mean=3.3707e+00
Trigger=2025-02-01T13:23:46.120000Z | Window=±12s | Peak=1.0491e+03 | Mean=3.0931e+00
Trigger=2025-02-01T13:26:43.980000Z | Window=±12s | Peak=1.0225e+03 | Mean=5.2758e+00
Trigger=2025-02-01T13:32:02.900000Z | Window=±12s | Peak=1.2609e+03 | Mean=6.3099e+00
Trigger=2025-02-01T13:37:59.490000Z | Window=±12s | Peak=1.4696e+03 | Mean=6.4663e+00
Trigger=2025-02-01T13:48:44.460000Z | Window=±12s | Peak=1.7607e+03 | Mean=3.9890e+00
Trigger=2025-02-01T14:11:29.500000Z | Window=±12s | Peak=7.7994e+02 | Mean=4.4975e+00
Trigger=2025-02-01T14:37:02.410000Z | Window=±12s | Peak=1.2649e+02 | Mean=2.9827e+00
Trigger=2025-02-01T14:45:38.310000Z | Window=±12s | Peak=2.1637e+03 | Mean=5.3972e+00
Trigger=2025-02-01T15:08:21.500000Z | Window=±12s | Peak=4.5493e+02 | Mean=3.2644e+00
Trigger=2025-02-01T15:09:08.880000Z | Window=±12s | Peak=4.2713e+02 | Mean=6.0972e+00
Trigger=2025-02-01T16:00:06.640000Z | Window=±12s | Peak=2.7293e+02 | Mean=2.7175e+00
Trigger=2025-02-01T16:34:24.830000Z | Window=±12s | Peak=1.1285e+03 | Mean=4.3170e+00
Trigger=2025-02-01T17:06:44.160000Z | Window=±12s | Peak=3.7262e+02 | Mean=3.4124e+00
Trigger=2025-02-01T17:07:26.150000Z | Window=±12s | Peak=2.3719e+02 | Mean=3.9423e+00
Trigger=2025-02-01T17:22:25.360000Z | Window=±12s | Peak=7.0826e+02 | Mean=2.7117e+00
