Start time: 2025-01-31T23:59:57.260000Z 
End time: 2025-02-06T09:16:42.810000Z
Inputs: WINDOWS =[12], FRANGE = (0.3, 50), QRANGE = (1, 64), PEAK_SEARCH_WINDOW = 0.5, WHITHEN = True
Parameters: sta = 0.5, lta = 60, on_threshold = 10.0, off_threshold = 1.5
============================================================
SUMMARY
============================================================
Trigger=2025-02-02T12:30:34.920000Z | Window=±12s | Peak=3.2168e+02 | Mean=4.6840e+00
Trigger=2025-02-02T20:54:27.190000Z | Window=±12s | Peak=1.6487e+01 | Mean=1.4937e+00
Trigger=2025-02-03T02:50:51.520000Z | Window=±12s | Peak=2.1453e+01 | Mean=1.4820e+00
Trigger=2025-02-03T03:13:02.130000Z | Window=±12s | Peak=4.4022e+01 | Mean=1.6177e+00
Trigger=2025-02-03T09:48:44.540000Z | Window=±12s | Peak=3.2517e+02 | Mean=2.5076e+00
Trigger=2025-02-03T12:45:29.360000Z | Window=±12s | Peak=1.8850e+02 | Mean=2.0335e+00
Trigger=2025-02-03T14:55:03.140000Z | Window=±12s | Peak=4.6011e+01 | Mean=1.6627e+00
Trigger=2025-02-03T15:10:39.800000Z | Window=±12s | Peak=2.5414e+01 | Mean=1.4969e+00
Trigger=2025-02-03T18:14:29.800000Z | Window=±12s | Peak=3.1766e+01 | Mean=1.5749e+00
Trigger=2025-02-04T02:17:24.730000Z | Window=±12s | Peak=3.2381e+01 | Mean=1.5479e+00
Trigger=2025-02-04T05:11:16.330000Z | Window=±12s | Peak=4.0548e+02 | Mean=5.6340e+00
Trigger=2025-02-05T19:17:37.710000Z | Window=±12s | Peak=1.8412e+02 | Mean=2.2884e+00
