perplexity,early_exaggeration,pca_components,metric,explained_variance,spearman_rho,p_value,n_pairs,pdf,status,error
100,10,40,euclidean,0.16680955975035866,0.794591138319637,0.0,99990,tsne_shepard_results/pdf/tsne_shepard _p100_e10_pca40_euclidean.pdf,OK,
90,10,40,euclidean,0.16680955975035866,0.7935745901241364,0.0,99990,tsne_shepard_results/pdf/tsne_shepard _p90_e10_pca40_euclidean.pdf,OK,
100,12,40,euclidean,0.16680955975035866,0.7930125404204993,0.0,99990,tsne_shepard_results/pdf/tsne_shepard _p100_e12_pca40_euclidean.pdf,OK,
80,10,40,euclidean,0.16680955975035866,0.7925355007088825,0.0,99990,tsne_shepard_results/pdf/tsne_shepard _p80_e10_pca40_euclidean.pdf,OK,
90,12,40,euclidean,0.16680955975035866,0.7920393944695859,0.0,99990,tsne_shepard_results/pdf/tsne_shepard _p90_e12_pca40_euclidean.pdf,OK,
100,14,40,euclidean,0.16680955975035866,0.7908825505764306,0.0,99990,tsne_shepard_results/pdf/tsne_shepard _p100_e14_pca40_euclidean.pdf,OK,
70,10,40,euclidean,0.16680955975035866,0.7905266380570213,0.0,99990,tsne_shepard_results/pdf/tsne_shepard _p70_e10_pca40_euclidean.pdf,OK,
80,12,40,euclidean,0.16680955975035866,0.7895683954855399,0.0,99990,tsne_shepard_results/pdf/tsne_shepard _p80_e12_pca40_euclidean.pdf,OK,
90,14,40,euclidean,0.16680955975035866,0.7894276336181277,0.0,99990,tsne_shepard_results/pdf/tsne_shepard _p90_e14_pca40_euclidean.pdf,OK,
80,14,40,euclidean,0.16680955975035866,0.7891222435137355,0.0,99990,tsne_shepard_results/pdf/tsne_shepard _p80_e14_pca40_euclidean.pdf,OK,
60,10,40,euclidean,0.16680955975035866,0.7885890644717334,0.0,99990,tsne_shepard_results/pdf/tsne_shepard _p60_e10_pca40_euclidean.pdf,OK,
70,12,40,euclidean,0.16680955975035866,0.7878431098698981,0.0,99990,tsne_shepard_results/pdf/tsne_shepard _p70_e12_pca40_euclidean.pdf,OK,
10,14,40,euclidean,0.16680955975035866,0.7877290977833505,0.0,99990,tsne_shepard_results/pdf/tsne_shepard _p10_e14_pca40_euclidean.pdf,OK,
20,10,40,euclidean,0.16680955975035866,0.7874206256497188,0.0,99990,tsne_shepard_results/pdf/tsne_shepard _p20_e10_pca40_euclidean.pdf,OK,
50,10,40,euclidean,0.16680955975035866,0.7873906608028481,0.0,99990,tsne_shepard_results/pdf/tsne_shepard _p50_e10_pca40_euclidean.pdf,OK,
60,14,40,euclidean,0.16680955975035866,0.7873651068796826,0.0,99990,tsne_shepard_results/pdf/tsne_shepard _p60_e14_pca40_euclidean.pdf,OK,
20,12,40,euclidean,0.16680955975035866,0.787326818477093,0.0,99990,tsne_shepard_results/pdf/tsne_shepard _p20_e12_pca40_euclidean.pdf,OK,
100,20,40,euclidean,0.16680955975035866,0.787212697395574,0.0,99990,tsne_shepard_results/pdf/tsne_shepard _p100_e20_pca40_euclidean.pdf,OK,
10,10,40,euclidean,0.16680955975035866,0.7870404733067181,0.0,99990,tsne_shepard_results/pdf/tsne_shepard _p10_e10_pca40_euclidean.pdf,OK,
10,12,40,euclidean,0.16680955975035866,0.7870098484344679,0.0,99990,tsne_shepard_results/pdf/tsne_shepard _p10_e12_pca40_euclidean.pdf,OK,
60,12,40,euclidean,0.16680955975035866,0.7869730679516734,0.0,99990,tsne_shepard_results/pdf/tsne_shepard _p60_e12_pca40_euclidean.pdf,OK,
20,14,40,euclidean,0.16680955975035866,0.7867918609011126,0.0,99990,tsne_shepard_results/pdf/tsne_shepard _p20_e14_pca40_euclidean.pdf,OK,
70,14,40,euclidean,0.16680955975035866,0.7865300432870677,0.0,99990,tsne_shepard_results/pdf/tsne_shepard _p70_e14_pca40_euclidean.pdf,OK,
40,10,40,euclidean,0.16680955975035866,0.7865189898566348,0.0,99990,tsne_shepard_results/pdf/tsne_shepard _p40_e10_pca40_euclidean.pdf,OK,
90,20,40,euclidean,0.16680955975035866,0.7864852386104827,0.0,99990,tsne_shepard_results/pdf/tsne_shepard _p90_e20_pca40_euclidean.pdf,OK,
80,20,40,euclidean,0.16680955975035866,0.786067809822594,0.0,99990,tsne_shepard_results/pdf/tsne_shepard _p80_e20_pca40_euclidean.pdf,OK,
10,14,40,manhattan,0.16680955975035866,0.7860343539552928,0.0,99990,tsne_shepard_results/pdf/tsne_shepard _p10_e14_pca40_manhattan.pdf,OK,
10,12,40,manhattan,0.16680955975035866,0.7859690651004115,0.0,99990,tsne_shepard_results/pdf/tsne_shepard _p10_e12_pca40_manhattan.pdf,OK,
20,20,40,euclidean,0.16680955975035866,0.7858700971569877,0.0,99990,tsne_shepard_results/pdf/tsne_shepard _p20_e20_pca40_euclidean.pdf,OK,
50,12,40,euclidean,0.16680955975035866,0.7854862845121344,0.0,99990,tsne_shepard_results/pdf/tsne_shepard _p50_e12_pca40_euclidean.pdf,OK,
10,20,40,euclidean,0.16680955975035866,0.7852637790400182,0.0,99990,tsne_shepard_results/pdf/tsne_shepard _p10_e20_pca40_euclidean.pdf,OK,
50,14,40,euclidean,0.16680955975035866,0.7852235798110799,0.0,99990,tsne_shepard_results/pdf/tsne_shepard _p50_e14_pca40_euclidean.pdf,OK,
10,10,40,manhattan,0.16680955975035866,0.785055214095565,0.0,99990,tsne_shepard_results/pdf/tsne_shepard _p10_e10_pca40_manhattan.pdf,OK,
