N_Neighbors,Min_dist,Repulsion_str,metric,spearman_rho,p_value,n_pairs,pdf,status,error
50,0.25,0.01,manhattan,0.4681828197187971,0.0,99990,umap_shepard_results/pdf/umap_shepard _n50_m0.25_repstr0.01_manhattan.pdf,OK,
5,0.99,1.0,euclidean,0.45800623413130637,0.0,99990,umap_shepard_results/pdf/umap_shepard _n5_m0.99_repstr1.0_euclidean.pdf,OK,
1000,0.8,10.0,cosine,0.4566397885958285,0.0,99990,umap_shepard_results/pdf/umap_shepard _n1000_m0.8_repstr10.0_cosine.pdf,OK,
5,0.0,0.5,manhattan,0.4424097656285226,0.0,99990,umap_shepard_results/pdf/umap_shepard _n5_m0.0_repstr0.5_manhattan.pdf,OK,
2,0.99,10.0,cosine,0.4403283297225232,0.0,99990,umap_shepard_results/pdf/umap_shepard _n2_m0.99_repstr10.0_cosine.pdf,OK,
50,0.5,10.0,manhattan,0.4306174156472864,0.0,99990,umap_shepard_results/pdf/umap_shepard _n50_m0.5_repstr10.0_manhattan.pdf,OK,
20,0.99,5.0,manhattan,0.4289307069324589,0.0,99990,umap_shepard_results/pdf/umap_shepard _n20_m0.99_repstr5.0_manhattan.pdf,OK,
200,0.25,0.01,euclidean,0.4283424841693351,0.0,99990,umap_shepard_results/pdf/umap_shepard _n200_m0.25_repstr0.01_euclidean.pdf,OK,
100,0.1,10.0,euclidean,0.4283309086464213,0.0,99990,umap_shepard_results/pdf/umap_shepard _n100_m0.1_repstr10.0_euclidean.pdf,OK,
2,0.25,1.0,cosine,0.4281233629937888,0.0,99990,umap_shepard_results/pdf/umap_shepard _n2_m0.25_repstr1.0_cosine.pdf,OK,
1000,0.8,1.0,euclidean,0.42806343890572657,0.0,99990,umap_shepard_results/pdf/umap_shepard _n1000_m0.8_repstr1.0_euclidean.pdf,OK,
1000,0.1,5.0,euclidean,0.42800387844681503,0.0,99990,umap_shepard_results/pdf/umap_shepard _n1000_m0.1_repstr5.0_euclidean.pdf,OK,
100,0.0,5.0,manhattan,0.42788565431074543,0.0,99990,umap_shepard_results/pdf/umap_shepard _n100_m0.0_repstr5.0_manhattan.pdf,OK,
50,0.5,2.0,euclidean,0.4274774609278375,0.0,99990,umap_shepard_results/pdf/umap_shepard _n50_m0.5_repstr2.0_euclidean.pdf,OK,
1000,0.8,0.5,manhattan,0.42746958154820036,0.0,99990,umap_shepard_results/pdf/umap_shepard _n1000_m0.8_repstr0.5_manhattan.pdf,OK,
20,0.5,10.0,manhattan,0.4274431321326273,0.0,99990,umap_shepard_results/pdf/umap_shepard _n20_m0.5_repstr10.0_manhattan.pdf,OK,
1000,0.0,1.0,cosine,0.42735217059198033,0.0,99990,umap_shepard_results/pdf/umap_shepard _n1000_m0.0_repstr1.0_cosine.pdf,OK,
50,0.99,100.0,manhattan,0.4273010032812301,0.0,99990,umap_shepard_results/pdf/umap_shepard _n50_m0.99_repstr100.0_manhattan.pdf,OK,
50,0.99,0.01,manhattan,0.4272994508885518,0.0,99990,umap_shepard_results/pdf/umap_shepard _n50_m0.99_repstr0.01_manhattan.pdf,OK,
1000,0.99,10.0,cosine,0.4272804516009895,0.0,99990,umap_shepard_results/pdf/umap_shepard _n1000_m0.99_repstr10.0_cosine.pdf,OK,
1000,0.0,0.5,cosine,0.4270809463407929,0.0,99990,umap_shepard_results/pdf/umap_shepard _n1000_m0.0_repstr0.5_cosine.pdf,OK,
100,0.99,0.01,cosine,0.4270762460526643,0.0,99990,umap_shepard_results/pdf/umap_shepard _n100_m0.99_repstr0.01_cosine.pdf,OK,
20,0.99,1.0,manhattan,0.4270280288531614,0.0,99990,umap_shepard_results/pdf/umap_shepard _n20_m0.99_repstr1.0_manhattan.pdf,OK,
20,0.8,2.0,cosine,0.4269941173386355,0.0,99990,umap_shepard_results/pdf/umap_shepard _n20_m0.8_repstr2.0_cosine.pdf,OK,
1000,0.1,100.0,manhattan,0.42693797661554145,0.0,99990,umap_shepard_results/pdf/umap_shepard _n1000_m0.1_repstr100.0_manhattan.pdf,OK,
2,0.5,100.0,manhattan,0.42688289964513854,0.0,99990,umap_shepard_results/pdf/umap_shepard _n2_m0.5_repstr100.0_manhattan.pdf,OK,
200,0.25,0.5,euclidean,0.4267739117815518,0.0,99990,umap_shepard_results/pdf/umap_shepard _n200_m0.25_repstr0.5_euclidean.pdf,OK,
20,0.99,1.0,cosine,0.42671274997212344,0.0,99990,umap_shepard_results/pdf/umap_shepard _n20_m0.99_repstr1.0_cosine.pdf,OK,
2,0.99,5.0,euclidean,0.42669955266258436,0.0,99990,umap_shepard_results/pdf/umap_shepard _n2_m0.99_repstr5.0_euclidean.pdf,OK,
2,0.8,5.0,euclidean,0.42668911382307034,0.0,99990,umap_shepard_results/pdf/umap_shepard _n2_m0.8_repstr5.0_euclidean.pdf,OK,
2,0.25,0.5,euclidean,0.4266802335769476,0.0,99990,umap_shepard_results/pdf/umap_shepard _n2_m0.25_repstr0.5_euclidean.pdf,OK,
5,0.0,100.0,euclidean,0.42662713419544324,0.0,99990,umap_shepard_results/pdf/umap_shepard _n5_m0.0_repstr100.0_euclidean.pdf,OK,
