network,station,location,channel,year,available_seconds,available_hours,coverage_percent,interval_count,channel_start,channel_end,sample_rate_hz,latitude,longitude,elevation_m,station_name,error
VR,VRG01,,HH1,2022,0.0,0.0,0.0,0,2019-04-01T00:00:00,,100.0,43.631413,10.504497,53.0,Virgo Central Building,
VR,VRG01,,HH1,2023,0.0,0.0,0.0,0,2019-04-01T00:00:00,,100.0,43.631413,10.504497,53.0,Virgo Central Building,
VR,VRG01,,HH1,2024,0.0,0.0,0.0,0,2019-04-01T00:00:00,,100.0,43.631413,10.504497,53.0,Virgo Central Building,
VR,VRG01,,HH1,2025,0.0,0.0,0.0,0,2019-04-01T00:00:00,,100.0,43.631413,10.504497,53.0,Virgo Central Building,
VR,VRG01,,HH2,2022,0.0,0.0,0.0,0,2019-04-01T00:00:00,,100.0,43.631413,10.504497,53.0,Virgo Central Building,
VR,VRG01,,HH2,2023,0.0,0.0,0.0,0,2019-04-01T00:00:00,,100.0,43.631413,10.504497,53.0,Virgo Central Building,
VR,VRG01,,HH2,2024,0.0,0.0,0.0,0,2019-04-01T00:00:00,,100.0,43.631413,10.504497,53.0,Virgo Central Building,
VR,VRG01,,HH2,2025,0.0,0.0,0.0,0,2019-04-01T00:00:00,,100.0,43.631413,10.504497,53.0,Virgo Central Building,
VR,VRG01,,HH3,2022,0.0,0.0,0.0,0,2019-04-01T00:00:00,,100.0,43.631413,10.504497,53.0,Virgo Central Building,
VR,VRG01,,HH3,2023,0.0,0.0,0.0,0,2019-04-01T00:00:00,,100.0,43.631413,10.504497,53.0,Virgo Central Building,
VR,VRG01,,HH3,2024,0.0,0.0,0.0,0,2019-04-01T00:00:00,,100.0,43.631413,10.504497,53.0,Virgo Central Building,
VR,VRG01,,HH3,2025,0.0,0.0,0.0,0,2019-04-01T00:00:00,,100.0,43.631413,10.504497,53.0,Virgo Central Building,
VR,VRG02,,HH1,2022,0.0,0.0,0.0,0,2019-04-01T00:00:00,,100.0,43.65693,10.516896,53.0,Virgo North End Building,
VR,VRG02,,HH1,2023,0.0,0.0,0.0,0,2019-04-01T00:00:00,,100.0,43.65693,10.516896,53.0,Virgo North End Building,
VR,VRG02,,HH1,2024,0.0,0.0,0.0,0,2019-04-01T00:00:00,,100.0,43.65693,10.516896,53.0,Virgo North End Building,
VR,VRG02,,HH1,2025,0.0,0.0,0.0,0,2019-04-01T00:00:00,,100.0,43.65693,10.516896,53.0,Virgo North End Building,
VR,VRG02,,HH2,2022,0.0,0.0,0.0,0,2019-04-01T00:00:00,,100.0,43.65693,10.516896,53.0,Virgo North End Building,
VR,VRG02,,HH2,2023,0.0,0.0,0.0,0,2019-04-01T00:00:00,,100.0,43.65693,10.516896,53.0,Virgo North End Building,
VR,VRG02,,HH2,2024,0.0,0.0,0.0,0,2019-04-01T00:00:00,,100.0,43.65693,10.516896,53.0,Virgo North End Building,
VR,VRG02,,HH2,2025,0.0,0.0,0.0,0,2019-04-01T00:00:00,,100.0,43.65693,10.516896,53.0,Virgo North End Building,
VR,VRG02,,HH3,2022,0.0,0.0,0.0,0,2019-04-01T00:00:00,,100.0,43.65693,10.516896,53.0,Virgo North End Building,
VR,VRG02,,HH3,2023,0.0,0.0,0.0,0,2019-04-01T00:00:00,,100.0,43.65693,10.516896,53.0,Virgo North End Building,
VR,VRG02,,HH3,2024,0.0,0.0,0.0,0,2019-04-01T00:00:00,,100.0,43.65693,10.516896,53.0,Virgo North End Building,
VR,VRG02,,HH3,2025,0.0,0.0,0.0,0,2019-04-01T00:00:00,,100.0,43.65693,10.516896,53.0,Virgo North End Building,
VR,VRG03,,HH1,2022,0.0,0.0,0.0,0,2019-04-01T00:00:00,,100.0,43.640408,10.46937,52.0,Virgo West End Building,
VR,VRG03,,HH1,2023,0.0,0.0,0.0,0,2019-04-01T00:00:00,,100.0,43.640408,10.46937,52.0,Virgo West End Building,
VR,VRG03,,HH1,2024,0.0,0.0,0.0,0,2019-04-01T00:00:00,,100.0,43.640408,10.46937,52.0,Virgo West End Building,
VR,VRG03,,HH1,2025,0.0,0.0,0.0,0,2019-04-01T00:00:00,,100.0,43.640408,10.46937,52.0,Virgo West End Building,
VR,VRG03,,HH2,2022,0.0,0.0,0.0,0,2019-04-01T00:00:00,,100.0,43.640408,10.46937,52.0,Virgo West End Building,
VR,VRG03,,HH2,2023,0.0,0.0,0.0,0,2019-04-01T00:00:00,,100.0,43.640408,10.46937,52.0,Virgo West End Building,
VR,VRG03,,HH2,2024,0.0,0.0,0.0,0,2019-04-01T00:00:00,,100.0,43.640408,10.46937,52.0,Virgo West End Building,
VR,VRG03,,HH2,2025,0.0,0.0,0.0,0,2019-04-01T00:00:00,,100.0,43.640408,10.46937,52.0,Virgo West End Building,
VR,VRG03,,HH3,2022,0.0,0.0,0.0,0,2019-04-01T00:00:00,,100.0,43.640408,10.46937,52.0,Virgo West End Building,
VR,VRG03,,HH3,2023,0.0,0.0,0.0,0,2019-04-01T00:00:00,,100.0,43.640408,10.46937,52.0,Virgo West End Building,
VR,VRG03,,HH3,2024,0.0,0.0,0.0,0,2019-04-01T00:00:00,,100.0,43.640408,10.46937,52.0,Virgo West End Building,
VR,VRG03,,HH3,2025,0.0,0.0,0.0,0,2019-04-01T00:00:00,,100.0,43.640408,10.46937,52.0,Virgo West End Building,
