perplexity,early_exaggeration,pca_components,metric,explained_variance,spearman_rho,p_value,n_pairs,pdf,status,error
10,10,40,euclidean,0.17878070617143674,0.8204250374300079,0.0,99995,year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p10_e10_pca40_euclidean.pdf,OK,
10,10,40,manhattan,0.17878070617143674,0.8197890556198033,0.0,99995,year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p10_e10_pca40_manhattan.pdf,OK,
10,10,40,cosine,0.17878070617143674,0.7215156337917042,0.0,99995,year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p10_e10_pca40_cosine.pdf,OK,
10,10,40,euclidean,0.36395096328206755,0.42950946224696346,0.0,99995,year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p10_e10_pca40_euclidean.pdf,OK,
10,10,40,manhattan,0.36395096328206755,0.3926141947737677,0.0,99995,year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p10_e10_pca40_manhattan.pdf,OK,
10,10,40,cosine,0.36395096328206755,0.6757106902404048,0.0,99995,year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p10_e10_pca40_cosine.pdf,OK,
10,10,40,euclidean,0.4581330224820056,0.3225147932188149,0.0,99995,year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p10_e10_pca40_euclidean.pdf,OK,
10,10,40,manhattan,0.4581330224820056,0.2682570278321429,0.0,99995,year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p10_e10_pca40_manhattan.pdf,OK,
10,10,40,cosine,0.4581330224820056,0.6416094146850553,0.0,99995,year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p10_e10_pca40_cosine.pdf,OK,
10,10,40,euclidean,0.5566912206836107,0.2816885594527851,0.0,99995,year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p10_e10_pca40_euclidean.pdf,OK,
10,10,40,manhattan,0.5566912206836107,0.21451708293938693,0.0,99995,year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p10_e10_pca40_manhattan.pdf,OK,
10,10,40,cosine,0.5566912206836107,0.6132497777196293,0.0,99995,year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p10_e10_pca40_cosine.pdf,OK,
10,12,40,euclidean,0.17878070617143674,0.82209293188573,0.0,99995,year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p10_e12_pca40_euclidean.pdf,OK,
10,12,40,manhattan,0.17878070617143674,0.8183679687977785,0.0,99995,year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p10_e12_pca40_manhattan.pdf,OK,
10,12,40,cosine,0.17878070617143674,0.721000541903505,0.0,99995,year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p10_e12_pca40_cosine.pdf,OK,
10,12,40,euclidean,0.36395096328206755,0.4242021740699738,0.0,99995,year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p10_e12_pca40_euclidean.pdf,OK,
10,12,40,manhattan,0.36395096328206755,0.3973437865328217,0.0,99995,year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p10_e12_pca40_manhattan.pdf,OK,
10,12,40,cosine,0.36395096328206755,0.6830656307573928,0.0,99995,year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p10_e12_pca40_cosine.pdf,OK,
10,12,40,euclidean,0.4581330224820056,0.32436558422599093,0.0,99995,year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p10_e12_pca40_euclidean.pdf,OK,
10,12,40,manhattan,0.4581330224820056,0.2595586257729997,0.0,99995,year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p10_e12_pca40_manhattan.pdf,OK,
10,12,40,cosine,0.4581330224820056,0.645321337020044,0.0,99995,year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p10_e12_pca40_cosine.pdf,OK,
10,12,40,euclidean,0.5566912206836107,0.27083749540421365,0.0,99995,year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p10_e12_pca40_euclidean.pdf,OK,
10,12,40,manhattan,0.5566912206836107,0.2048115364063569,0.0,99995,year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p10_e12_pca40_manhattan.pdf,OK,
10,12,40,cosine,0.5566912206836107,0.6154875507459936,0.0,99995,year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p10_e12_pca40_cosine.pdf,OK,
10,14,40,euclidean,0.17878070617143674,0.8215324049546536,0.0,99995,year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p10_e14_pca40_euclidean.pdf,OK,
10,14,40,manhattan,0.17878070617143674,0.8180662381883359,0.0,99995,year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p10_e14_pca40_manhattan.pdf,OK,
10,14,40,cosine,0.17878070617143674,0.722905482893511,0.0,99995,year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p10_e14_pca40_cosine.pdf,OK,
10,14,40,euclidean,0.36395096328206755,0.4286181846291844,0.0,99995,year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p10_e14_pca40_euclidean.pdf,OK,
10,14,40,manhattan,0.36395096328206755,0.3967929351453868,0.0,99995,year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p10_e14_pca40_manhattan.pdf,OK,
10,14,40,cosine,0.36395096328206755,0.6826187121951106,0.0,99995,year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p10_e14_pca40_cosine.pdf,OK,
10,14,40,euclidean,0.4581330224820056,0.3169829880086823,0.0,99995,year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p10_e14_pca40_euclidean.pdf,OK,
10,14,40,manhattan,0.4581330224820056,0.26614875776881597,0.0,99995,year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p10_e14_pca40_manhattan.pdf,OK,
10,14,40,cosine,0.4581330224820056,0.6455993809400695,0.0,99995,year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p10_e14_pca40_cosine.pdf,OK,
10,14,40,euclidean,0.5566912206836107,0.27337096779208103,0.0,99995,year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p10_e14_pca40_euclidean.pdf,OK,
10,14,40,manhattan,0.5566912206836107,0.21052144372701445,0.0,99995,year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p10_e14_pca40_manhattan.pdf,OK,
10,14,40,cosine,0.5566912206836107,0.6158676199965522,0.0,99995,year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p10_e14_pca40_cosine.pdf,OK,
10,20,40,euclidean,0.17878070617143674,0.8210132542680787,0.0,99995,year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p10_e20_pca40_euclidean.pdf,OK,
10,20,40,manhattan,0.17878070617143674,0.8194549515527753,0.0,99995,year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p10_e20_pca40_manhattan.pdf,OK,
10,20,40,cosine,0.17878070617143674,0.723248554308058,0.0,99995,year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p10_e20_pca40_cosine.pdf,OK,
10,20,40,euclidean,0.36395096328206755,0.42980606577000013,0.0,99995,year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p10_e20_pca40_euclidean.pdf,OK,
10,20,40,manhattan,0.36395096328206755,0.3962376605802713,0.0,99995,year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p10_e20_pca40_manhattan.pdf,OK,
10,20,40,cosine,0.36395096328206755,0.6883171850854046,0.0,99995,year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p10_e20_pca40_cosine.pdf,OK,
10,20,40,euclidean,0.4581330224820056,0.3224900098597977,0.0,99995,year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p10_e20_pca40_euclidean.pdf,OK,
10,20,40,manhattan,0.4581330224820056,0.27322819320129055,0.0,99995,year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p10_e20_pca40_manhattan.pdf,OK,
10,20,40,cosine,0.4581330224820056,0.6525711833943163,0.0,99995,year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p10_e20_pca40_cosine.pdf,OK,
10,20,40,euclidean,0.5566912206836107,0.27846545415046675,0.0,99995,year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p10_e20_pca40_euclidean.pdf,OK,
10,20,40,manhattan,0.5566912206836107,0.21664463792908525,0.0,99995,year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p10_e20_pca40_manhattan.pdf,OK,
10,20,40,cosine,0.5566912206836107,0.6202013072648608,0.0,99995,year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p10_e20_pca40_cosine.pdf,OK,
10,100,40,euclidean,0.17878070617143674,0.8140959712921207,0.0,99995,year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p10_e100_pca40_euclidean.pdf,OK,
10,100,40,manhattan,0.17878070617143674,0.8130904771514303,0.0,99995,year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p10_e100_pca40_manhattan.pdf,OK,
10,100,40,cosine,0.17878070617143674,0.7161985880695659,0.0,99995,year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p10_e100_pca40_cosine.pdf,OK,
10,100,40,euclidean,0.36395096328206755,0.5795777766360335,0.0,99995,year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p10_e100_pca40_euclidean.pdf,OK,
10,100,40,manhattan,0.36395096328206755,0.5412423601857246,0.0,99995,year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p10_e100_pca40_manhattan.pdf,OK,
10,100,40,cosine,0.36395096328206755,0.6872569436744328,0.0,99995,year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p10_e100_pca40_cosine.pdf,OK,
10,100,40,euclidean,0.4581330224820056,0.5065083642225734,0.0,99995,year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p10_e100_pca40_euclidean.pdf,OK,
10,100,40,manhattan,0.4581330224820056,0.4434365539425772,0.0,99995,year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p10_e100_pca40_manhattan.pdf,OK,
10,100,40,cosine,0.4581330224820056,0.6532936410773966,0.0,99995,year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p10_e100_pca40_cosine.pdf,OK,
10,100,40,euclidean,0.5566912206836107,0.40323280386294397,0.0,99995,year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p10_e100_pca40_euclidean.pdf,OK,
10,100,40,manhattan,0.5566912206836107,0.28722731339582225,0.0,99995,year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p10_e100_pca40_manhattan.pdf,OK,
10,100,40,cosine,0.5566912206836107,0.6250813492077426,0.0,99995,year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p10_e100_pca40_cosine.pdf,OK,
10,300,40,euclidean,0.17878070617143674,0.8153016315517043,0.0,99995,year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p10_e300_pca40_euclidean.pdf,OK,
10,300,40,manhattan,0.17878070617143674,0.8137688359653746,0.0,99995,year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p10_e300_pca40_manhattan.pdf,OK,
10,300,40,cosine,0.17878070617143674,0.7211346539326238,0.0,99995,year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p10_e300_pca40_cosine.pdf,OK,
10,300,40,euclidean,0.36395096328206755,0.5238894533612167,0.0,99995,year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p10_e300_pca40_euclidean.pdf,OK,
10,300,40,manhattan,0.36395096328206755,0.38135261223037414,0.0,99995,year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p10_e300_pca40_manhattan.pdf,OK,
10,300,40,cosine,0.36395096328206755,0.6887868751294483,0.0,99995,year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p10_e300_pca40_cosine.pdf,OK,
10,300,40,euclidean,0.4581330224820056,0.4716533955288212,0.0,99995,year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p10_e300_pca40_euclidean.pdf,OK,
10,300,40,manhattan,0.4581330224820056,0.31525662431533624,0.0,99995,year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p10_e300_pca40_manhattan.pdf,OK,
10,300,40,cosine,0.4581330224820056,0.5215178850468257,0.0,99995,year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p10_e300_pca40_cosine.pdf,OK,
10,300,40,euclidean,0.5566912206836107,0.3618762318530267,0.0,99995,year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p10_e300_pca40_euclidean.pdf,OK,
10,300,40,manhattan,0.5566912206836107,0.24450157448132237,0.0,99995,year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p10_e300_pca40_manhattan.pdf,OK,
10,300,40,cosine,0.5566912206836107,0.3975419153065017,0.0,99995,year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p10_e300_pca40_cosine.pdf,OK,
10,1000,40,euclidean,0.17878070617143674,0.15781204341968993,0.0,99995,year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p10_e1000_pca40_euclidean.pdf,OK,
10,1000,40,manhattan,0.17878070617143674,0.1902612516446475,0.0,99995,year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p10_e1000_pca40_manhattan.pdf,OK,
10,1000,40,cosine,0.17878070617143674,0.044972743226382464,6.115430392683456e-46,99995,year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p10_e1000_pca40_cosine.pdf,OK,
